clause_id,doc_id,document,regulation_type,year,pasal,ayat,huruf,angka,source_location,bab,bagian,paragraf,clause_text,word_count,segmentation_note,unit_text_before_atomic_split,is_substantive,non_substantive_reason
C00001,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 5,,,,Pasal 5,,,,"ayat (1), Pasal 20, Pasal 21, dan Pasal 33 Undang-Undang Dasar Negara Republik Indonesia Tahun 1945",17,article-level clause,"ayat (1), Pasal 20, Pasal 21, dan Pasal 33 Undang-Undang Dasar Negara Republik Indonesia Tahun 1945; Dengan Persetujuan Bersama dan MEMUTUSKAN: Menetapkan: UNDANG-UNDANG TENTANG ENERGI.",True,substantive_candidate
C00002,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 5,,,,Pasal 5,,,,Dengan Persetujuan Bersama dan MEMUTUSKAN: Menetapkan: UNDANG-UNDANG TENTANG ENERGI,10,article-level clause,"ayat (1), Pasal 20, Pasal 21, dan Pasal 33 Undang-Undang Dasar Negara Republik Indonesia Tahun 1945; Dengan Persetujuan Bersama dan MEMUTUSKAN: Menetapkan: UNDANG-UNDANG TENTANG ENERGI.",False,enactment_preamble_formula
C00003,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,,Pasal 1,BAB I,,,Dalam Undang-Undang ini yang dimaksud dengan,7,article-level clause,Dalam Undang-Undang ini yang dimaksud dengan:,False,definition_intro_fragment
C00004,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,1,Pasal 1 angka 1,BAB I,,,"Energi adalah kemampuan untuk melakukan kerja yang dapat berupa panas, cahaya, mekanika, kimia, dan elektromagnetika",15,angka-level clause,"Energi adalah kemampuan untuk melakukan kerja yang dapat berupa panas, cahaya, mekanika, kimia, dan elektromagnetika.",True,substantive_candidate
C00005,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,2,Pasal 1 angka 2,BAB I,,,"Sumber energi adalah sesuatu yang dapat menghasilkan energi, baik secara langsung maupun melalui proses konversi atau transformasi",17,angka-level clause,"Sumber energi adalah sesuatu yang dapat menghasilkan energi, baik secara langsung maupun melalui proses konversi atau transformasi.",True,substantive_candidate
C00006,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,3,Pasal 1 angka 3,BAB I,,,"Sumber daya energi adalah sumber daya alam yang dapat dimanfaatkan, baik sebagai sumber energi maupun sebagai energi",17,angka-level clause,"Sumber daya energi adalah sumber daya alam yang dapat dimanfaatkan, baik sebagai sumber energi maupun sebagai energi.",True,substantive_candidate
C00007,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,4,Pasal 1 angka 4,BAB I,,,"Sumber energi baru adalah sumber energi yang dapat dihasilkan oleh teknologi baru baik yang berasal dari sumber energi terbarukan maupun sumber energi tak terbarukan, antara lain nuklir, hidrogen, gas metana batu bara (coal bed methane), batu bara tercairkan (liquified coal)",40,angka-level clause,"Sumber energi baru adalah sumber energi yang dapat dihasilkan oleh teknologi baru baik yang berasal dari sumber energi terbarukan maupun sumber energi tak terbarukan, antara lain nuklir, hidrogen, gas metana batu bara (coal bed methane), batu bara tercairkan (liquified coal), dan batu bara tergaskan (gasified coal).",True,substantive_candidate
C00008,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,4,Pasal 1 angka 4,BAB I,,,dan batu bara tergaskan (gasified coal),6,angka-level clause,"Sumber energi baru adalah sumber energi yang dapat dihasilkan oleh teknologi baru baik yang berasal dari sumber energi terbarukan maupun sumber energi tak terbarukan, antara lain nuklir, hidrogen, gas metana batu bara (coal bed methane), batu bara tercairkan (liquified coal), dan batu bara tergaskan (gasified coal).",True,substantive_candidate
C00009,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,5,Pasal 1 angka 5,BAB I,,,Energi baru adalah energi yang berasal dari sumber energi baru,10,angka-level clause,Energi baru adalah energi yang berasal dari sumber energi baru.,True,substantive_candidate
C00010,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,6,Pasal 1 angka 6,BAB I,,,"Sumber energi terbarukan adalah sumber energi yang dihasilkan dari sumber daya energi yang berkelanjutan jika dikelola dengan baik, antara lain panas bumi, angin, bioenergi, sinar matahari, aliran dan terjunan air, serta gerakan dan perbedaan suhu lapisan laut",37,angka-level clause,"Sumber energi terbarukan adalah sumber energi yang dihasilkan dari sumber daya energi yang berkelanjutan jika dikelola dengan baik, antara lain panas bumi, angin, bioenergi, sinar matahari, aliran dan terjunan air, serta gerakan dan perbedaan suhu lapisan laut.",True,substantive_candidate
C00011,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,7,Pasal 1 angka 7,BAB I,,,Energi terbarukan adalah energi yang berasal dari sumber energi terbarukan,10,angka-level clause,Energi terbarukan adalah energi yang berasal dari sumber energi terbarukan.,True,substantive_candidate
C00012,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,8,Pasal 1 angka 8,BAB I,,,"Sumber energi tak terbarukan adalah sumber energi yang dihasilkan dari sumber daya energi yang akan habis jika dieksploitasi secara terus-menerus, antara lain minyak bumi, gas bumi, batu bara, gambut, dan serpih bitumen",33,angka-level clause,"Sumber energi tak terbarukan adalah sumber energi yang dihasilkan dari sumber daya energi yang akan habis jika dieksploitasi secara terus-menerus, antara lain minyak bumi, gas bumi, batu bara, gambut, dan serpih bitumen.",True,substantive_candidate
