clause_id,doc_id,document,regulation_type,year,pasal,ayat,huruf,angka,source_location,bab,bagian,paragraf,clause_text,word_count,segmentation_note,unit_text_before_atomic_split,is_substantive,non_substantive_reason,policy_theme,label_id,label_source,rule_keyword,confidence,review_flag,keyword_scores_json,weighted_hits_json,audit_note,technical_tariff_clause,technical_tariff_evidence,domain_markers,domain_marker_evidence,best_theme_candidate,best_theme_score,final_label_score,audit_label_consistent,second_theme_candidate,second_theme_score,score_margin,n_matched_keywords_best_theme,n_matched_keywords_all_themes,top_evidence_keywords,strong_evidence_keywords,weak_or_ambiguous_evidence_keywords,evidence_strength
C00001,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 5,,,,Pasal 5,,,,"ayat (1), Pasal 20, Pasal 21, dan Pasal 33 Undang-Undang Dasar Negara Republik Indonesia Tahun 1945",17,article-level clause,"ayat (1), Pasal 20, Pasal 21, dan Pasal 33 Undang-Undang Dasar Negara Republik Indonesia Tahun 1945; Dengan Persetujuan Bersama dan MEMUTUSKAN: Menetapkan: UNDANG-UNDANG TENTANG ENERGI.",True,substantive_candidate,Other/Needs Review,L0,needs-manual-review,,0.0,True,"{""Energy Security"": 0.0, ""Energy Access and Equity"": 0.0, ""Renewable and Sustainable Energy"": 0.0, ""Economic and Pricing Policy"": 0.0, ""Governance and Institutional Responsibility"": 0.0, ""Environmental Protection and Safety"": 0.0}","{""Energy Security"": [], ""Energy Access and Equity"": [], ""Renewable and Sustainable Energy"": [], ""Economic and Pricing Policy"": [], ""Governance and Institutional Responsibility"": [], ""Environmental Protection and Safety"": []}",no keyword matched,False,,,,No reliable theme candidate,0.0,0.0,not_applicable,No reliable second candidate,0.0,0.0,0,0,,,,no_evidence
C00004,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,1,Pasal 1 angka 1,BAB I,,,"Energi adalah kemampuan untuk melakukan kerja yang dapat berupa panas, cahaya, mekanika, kimia, dan elektromagnetika",15,angka-level clause,"Energi adalah kemampuan untuk melakukan kerja yang dapat berupa panas, cahaya, mekanika, kimia, dan elektromagnetika.",True,substantive_candidate,Other/Needs Review,L0,needs-manual-review,,0.0,True,"{""Energy Security"": 0.0, ""Energy Access and Equity"": 0.0, ""Renewable and Sustainable Energy"": 0.0, ""Economic and Pricing Policy"": 0.0, ""Governance and Institutional Responsibility"": 0.0, ""Environmental Protection and Safety"": 0.0}","{""Energy Security"": [], ""Energy Access and Equity"": [], ""Renewable and Sustainable Energy"": [], ""Economic and Pricing Policy"": [], ""Governance and Institutional Responsibility"": [], ""Environmental Protection and Safety"": []}",no keyword matched,False,,,,No reliable theme candidate,0.0,0.0,not_applicable,No reliable second candidate,0.0,0.0,0,0,,,,no_evidence
C00005,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,2,Pasal 1 angka 2,BAB I,,,"Sumber energi adalah sesuatu yang dapat menghasilkan energi, baik secara langsung maupun melalui proses konversi atau transformasi",17,angka-level clause,"Sumber energi adalah sesuatu yang dapat menghasilkan energi, baik secara langsung maupun melalui proses konversi atau transformasi.",True,substantive_candidate,Other/Needs Review,L0,needs-manual-review,,0.0,True,"{""Energy Security"": 0.0, ""Energy Access and Equity"": 0.0, ""Renewable and Sustainable Energy"": 0.0, ""Economic and Pricing Policy"": 0.0, ""Governance and Institutional Responsibility"": 0.0, ""Environmental Protection and Safety"": 0.0}","{""Energy Security"": [], ""Energy Access and Equity"": [], ""Renewable and Sustainable Energy"": [], ""Economic and Pricing Policy"": [], ""Governance and Institutional Responsibility"": [], ""Environmental Protection and Safety"": []}",no keyword matched,False,,,,No reliable theme candidate,0.0,0.0,not_applicable,No reliable second candidate,0.0,0.0,0,0,,,,no_evidence
C00006,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,3,Pasal 1 angka 3,BAB I,,,"Sumber daya energi adalah sumber daya alam yang dapat dimanfaatkan, baik sebagai sumber energi maupun sebagai energi",17,angka-level clause,"Sumber daya energi adalah sumber daya alam yang dapat dimanfaatkan, baik sebagai sumber energi maupun sebagai energi.",True,substantive_candidate,Other/Needs Review,L0,needs-manual-review,,0.0,True,"{""Energy Security"": 0.0, ""Energy Access and Equity"": 0.0, ""Renewable and Sustainable Energy"": 0.0, ""Economic and Pricing Policy"": 0.0, ""Governance and Institutional Responsibility"": 0.0, ""Environmental Protection and Safety"": 0.0}","{""Energy Security"": [], ""Energy Access and Equity"": [], ""Renewable and Sustainable Energy"": [], ""Economic and Pricing Policy"": [], ""Governance and Institutional Responsibility"": [], ""Environmental Protection and Safety"": []}",no keyword matched,False,,,,No reliable theme candidate,0.0,0.0,not_applicable,No reliable second candidate,0.0,0.0,0,0,,,,no_evidence
C00007,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,4,Pasal 1 angka 4,BAB I,,,"Sumber energi baru adalah sumber energi yang dapat dihasilkan oleh teknologi baru baik yang berasal dari sumber energi terbarukan maupun sumber energi tak terbarukan, antara lain nuklir, hidrogen, gas metana batu bara (coal bed methane), batu bara tercairkan (liquified coal)",40,angka-level clause,"Sumber energi baru adalah sumber energi yang dapat dihasilkan oleh teknologi baru baik yang berasal dari sumber energi terbarukan maupun sumber energi tak terbarukan, antara lain nuklir, hidrogen, gas metana batu bara (coal bed methane), batu bara tercairkan (liquified coal), dan batu bara tergaskan (gasified coal).",True,substantive_candidate,Renewable and Sustainable Energy,L3,weighted-rule-assisted,"energi baru, energi terbarukan, sumber energi baru, sumber energi terbarukan, hidrogen, nuklir",0.99,False,"{""Energy Security"": 0.0, ""Energy Access and Equity"": 0.0, ""Renewable and Sustainable Energy"": 7.05, ""Economic and Pricing Policy"": 0.0, ""Governance and Institutional Responsibility"": 0.0, ""Environmental Protection and Safety"": 0.0}","{""Energy Security"": [], ""Energy Access and Equity"": [], ""Renewable and Sustainable Energy"": [{""keyword"": ""energi baru"", ""weight"": 1.0}, {""keyword"": ""energi terbarukan"", ""weight"": 2.0}, {""keyword"": ""sumber energi baru"", ""weight"": 1.35}, {""keyword"": ""sumber energi terbarukan"", ""weight"": 1.35}, {""keyword"": ""hidrogen"", ""weight"": 1.0}, {""keyword"": ""nuklir"", ""weight"": 0.35}], ""Economic and Pricing Policy"": [], ""Governance and Institutional Responsibility"": [], ""Environmental Protection and Safety"": []}",weighted keyword rule,False,,renewable_power,renewable_power: energi terbarukan,Renewable and Sustainable Energy,7.05,7.05,True,Environmental Protection and Safety,0.0,7.05,6,6,"energi terbarukan, sumber energi baru, sumber energi terbarukan, energi baru, hidrogen, nuklir",energi terbarukan,nuklir,strong_evidence
C00008,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,4,Pasal 1 angka 4,BAB I,,,dan batu bara tergaskan (gasified coal),6,angka-level clause,"Sumber energi baru adalah sumber energi yang dapat dihasilkan oleh teknologi baru baik yang berasal dari sumber energi terbarukan maupun sumber energi tak terbarukan, antara lain nuklir, hidrogen, gas metana batu bara (coal bed methane), batu bara tercairkan (liquified coal), dan batu bara tergaskan (gasified coal).",True,substantive_candidate,Other/Needs Review,L0,needs-manual-review,,0.0,True,"{""Energy Security"": 0.0, ""Energy Access and Equity"": 0.0, ""Renewable and Sustainable Energy"": 0.0, ""Economic and Pricing Policy"": 0.0, ""Governance and Institutional Responsibility"": 0.0, ""Environmental Protection and Safety"": 0.0}","{""Energy Security"": [], ""Energy Access and Equity"": [], ""Renewable and Sustainable Energy"": [], ""Economic and Pricing Policy"": [], ""Governance and Institutional Responsibility"": [], ""Environmental Protection and Safety"": []}",no keyword matched,False,,,,No reliable theme candidate,0.0,0.0,not_applicable,No reliable second candidate,0.0,0.0,0,0,,,,no_evidence
C00009,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,5,Pasal 1 angka 5,BAB I,,,Energi baru adalah energi yang berasal dari sumber energi baru,10,angka-level clause,Energi baru adalah energi yang berasal dari sumber energi baru.,True,substantive_candidate,Renewable and Sustainable Energy,L3,weighted-rule-assisted,"energi baru, sumber energi baru",0.726,False,"{""Energy Security"": 0.0, ""Energy Access and Equity"": 0.0, ""Renewable and Sustainable Energy"": 2.35, ""Economic and Pricing Policy"": 0.0, ""Governance and Institutional Responsibility"": 0.0, ""Environmental Protection and Safety"": 0.0}","{""Energy Security"": [], ""Energy Access and Equity"": [], ""Renewable and Sustainable Energy"": [{""keyword"": ""energi baru"", ""weight"": 1.0}, {""keyword"": ""sumber energi baru"", ""weight"": 1.35}], ""Economic and Pricing Policy"": [], ""Governance and Institutional Responsibility"": [], ""Environmental Protection and Safety"": []}",weighted keyword rule,False,,,,Renewable and Sustainable Energy,2.35,2.35,True,Environmental Protection and Safety,0.0,2.35,2,2,"sumber energi baru, energi baru",,,strong_evidence
C00010,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,6,Pasal 1 angka 6,BAB I,,,"Sumber energi terbarukan adalah sumber energi yang dihasilkan dari sumber daya energi yang berkelanjutan jika dikelola dengan baik, antara lain panas bumi, angin, bioenergi, sinar matahari, aliran dan terjunan air, serta gerakan dan perbedaan suhu lapisan laut",37,angka-level clause,"Sumber energi terbarukan adalah sumber energi yang dihasilkan dari sumber daya energi yang berkelanjutan jika dikelola dengan baik, antara lain panas bumi, angin, bioenergi, sinar matahari, aliran dan terjunan air, serta gerakan dan perbedaan suhu lapisan laut.",True,substantive_candidate,Renewable and Sustainable Energy,L3,weighted-rule-assisted,"energi terbarukan, sumber energi terbarukan, berkelanjutan, panas bumi, bioenergi, sinar matahari, angin",0.99,False,"{""Energy Security"": 0.0, ""Energy Access and Equity"": 0.0, ""Renewable and Sustainable Energy"": 7.7, ""Economic and Pricing Policy"": 0.0, ""Governance and Institutional Responsibility"": 0.0, ""Environmental Protection and Safety"": 0.0}","{""Energy Security"": [], ""Energy Access and Equity"": [], ""Renewable and Sustainable Energy"": [{""keyword"": ""energi terbarukan"", ""weight"": 2.0}, {""keyword"": ""sumber energi terbarukan"", ""weight"": 1.35}, {""keyword"": ""berkelanjutan"", ""weight"": 1.0}, {""keyword"": ""panas bumi"", ""weight"": 0.35}, {""keyword"": ""bioenergi"", ""weight"": 1.0}, {""keyword"": ""sinar matahari"", ""weight"": 1.0}, {""keyword"": ""angin"", ""weight"": 1.0}], ""Economic and Pricing Policy"": [], ""Governance and Institutional Responsibility"": [], ""Environmental Protection and Safety"": []}",weighted keyword rule,False,,geothermal; renewable_power,geothermal: panas bumi | renewable_power: energi terbarukan,Renewable and Sustainable Energy,7.7,7.7,True,Environmental Protection and Safety,0.0,7.7,7,7,"energi terbarukan, sumber energi terbarukan, berkelanjutan, bioenergi, sinar matahari, angin, panas bumi",energi terbarukan,panas bumi,strong_evidence
C00011,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,7,Pasal 1 angka 7,BAB I,,,Energi terbarukan adalah energi yang berasal dari sumber energi terbarukan,10,angka-level clause,Energi terbarukan adalah energi yang berasal dari sumber energi terbarukan.,True,substantive_candidate,Renewable and Sustainable Energy,L3,weighted-rule-assisted,"energi terbarukan, sumber energi terbarukan",0.838,False,"{""Energy Security"": 0.0, ""Energy Access and Equity"": 0.0, ""Renewable and Sustainable Energy"": 3.35, ""Economic and Pricing Policy"": 0.0, ""Governance and Institutional Responsibility"": 0.0, ""Environmental Protection and Safety"": 0.0}","{""Energy Security"": [], ""Energy Access and Equity"": [], ""Renewable and Sustainable Energy"": [{""keyword"": ""energi terbarukan"", ""weight"": 2.0}, {""keyword"": ""sumber energi terbarukan"", ""weight"": 1.35}], ""Economic and Pricing Policy"": [], ""Governance and Institutional Responsibility"": [], ""Environmental Protection and Safety"": []}",weighted keyword rule,False,,renewable_power,renewable_power: energi terbarukan,Renewable and Sustainable Energy,3.35,3.35,True,Environmental Protection and Safety,0.0,3.35,2,2,"energi terbarukan, sumber energi terbarukan",energi terbarukan,,strong_evidence
C00012,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,8,Pasal 1 angka 8,BAB I,,,"Sumber energi tak terbarukan adalah sumber energi yang dihasilkan dari sumber daya energi yang akan habis jika dieksploitasi secara terus-menerus, antara lain minyak bumi, gas bumi, batu bara, gambut, dan serpih bitumen",33,angka-level clause,"Sumber energi tak terbarukan adalah sumber energi yang dihasilkan dari sumber daya energi yang akan habis jika dieksploitasi secara terus-menerus, antara lain minyak bumi, gas bumi, batu bara, gambut, dan serpih bitumen.",True,substantive_candidate,Energy Security,L1,weighted-rule-assisted,"gas bumi, minyak bumi",0.511,True,"{""Energy Security"": 0.7, ""Energy Access and Equity"": 0.0, ""Renewable and Sustainable Energy"": 0.0, ""Economic and Pricing Policy"": 0.0, ""Governance and Institutional Responsibility"": 0.0, ""Environmental Protection and Safety"": 0.0}","{""Energy Security"": [{""keyword"": ""gas bumi"", ""weight"": 0.35}, {""keyword"": ""minyak bumi"", ""weight"": 0.35}], ""Energy Access and Equity"": [], ""Renewable and Sustainable Energy"": [], ""Economic and Pricing Policy"": [], ""Governance and Institutional Responsibility"": [], ""Environmental Protection and Safety"": []}",weighted keyword rule; needs review due to low score or small margin,False,,,,Energy Security,0.7,0.7,True,Environmental Protection and Safety,0.0,0.7,2,2,"gas bumi, minyak bumi",,"gas bumi, minyak bumi",weak_evidence
