clause_id,doc_id,document,source_location,clause_text,domain_markers,domain_marker_evidence,technical_tariff_clause,technical_tariff_evidence,policy_theme,best_theme_candidate,best_theme_score,second_theme_candidate,second_theme_score,score_margin,rule_keyword,top_evidence_keywords,confidence,evidence_strength,audit_note
C00593,PERPRES112_2022,Perpres No. 112 Tahun 2022,Pasal 15 ayat 1,Proses pembelian Tenaga Listrik melalui penunjukan langsung sebagaimana dimaksud dalam Pasal 14 ayat (2) didahului dengan proses pemasukan dokumen sampai dengan penandatanganan PJBL termasuk evaluasi dokumen diselesaikan dalam jangka waktu paling lama 90 (sembilan puluh) hari kalender,tariff_procurement,tariff_procurement: pjbl,True,pjbl,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Governance and Institutional Responsibility,1.0,0.0,pjbl,pjbl,0.5,ambiguous_small_margin,weighted keyword rule; needs review due to low score or small margin
C00613,PERPRES112_2022,Perpres No. 112 Tahun 2022,Pasal 19 ayat 1 huruf d,untuk PLTP dari pemegang izin usaha penyediaan tenaga listrik dari PLTP dilakukan terhadap pemegang izin usaha penyediaan tenaga listrik yang telah memiliki komitmen penyediaan (supply) uap panas bumi untuk kelangsungan operasi PLTP selama masa PJBL,geothermal; tariff_procurement,geothermal: panas bumi; pltp | tariff_procurement: pjbl,True,pjbl,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Governance and Institutional Responsibility,1.0,0.0,pjbl,pjbl,0.5,ambiguous_small_margin,weighted keyword rule; needs review due to low score or small margin
C00171,UU30_2007,UU No. 30 Tahun 2007,Pasal 30 ayat 4,"Ketentuan mengenai pendanaan, sebagaimana dimaksud pada ayat (3), diatur lebih lanjut dengan Peraturan Pemerintah",,,False,,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Governance and Institutional Responsibility,0.9,0.1,pendanaan,pendanaan,0.505,ambiguous_small_margin,weighted keyword rule; needs review due to low score or small margin
C00549,PERPRES112_2022,Perpres No. 112 Tahun 2022,Pasal 8 ayat 2,Harga fasilitas jaringan Tenaga Listrik yang telah disepakati sebagaimana dimaksud pada ayat (1) berlaku sebagai persetujuan dari Menteri,,,False,,Economic and Pricing Policy,Economic and Pricing Policy,1.35,Governance and Institutional Responsibility,1.2,0.15,harga fasilitas jaringan,harga fasilitas jaringan,0.536,ambiguous_small_margin,weighted keyword rule; needs review due to low score or small margin
C00793,UU21_2014,UU No. 21 Tahun 2014,Pasal 14,Harga energi Panas Bumi untuk Pemanfaatan Langsung diatur oleh Pemerintah,geothermal,geothermal: panas bumi,False,,Economic and Pricing Policy,Economic and Pricing Policy,2.0,Renewable and Sustainable Energy,1.85,0.15,harga energi,harga energi,0.587,ambiguous_small_margin,weighted keyword rule; needs review due to low score or small margin
C00794,UU21_2014,UU No. 21 Tahun 2014,Pasal 15,untuk Pemanfaatan Langsung sebagaimana dimaksud dalam Pasal 11 dan Pasal 12 serta pengaturan harga energi Panas Bumi sebagaimana dimaksud dalam Pasal 14 diatur dalam Peraturan Pemerintah,geothermal,geothermal: panas bumi,False,,Economic and Pricing Policy,Economic and Pricing Policy,2.0,Renewable and Sustainable Energy,1.85,0.15,harga energi,harga energi,0.587,ambiguous_small_margin,weighted keyword rule; needs review due to low score or small margin
C00571,PERPRES112_2022,Perpres No. 112 Tahun 2022,Pasal 12 ayat 1,Pembelian Tenaga Listrik dari pembangkit Tenaga Listrik yang seluruhnya atau sebagian dibangun oleh Pemerintah Pusat atau pemerintah daerah termasuk yang berasal dari hibah berdasarkan harga patokan tertinggi sebagaimana dimaksud dalam Pasal 5 ayat (1) huruf a dilakukan untuk pembelian Tenaga Listrik dari,tariff_procurement,tariff_procurement: harga patokan tertinggi,True,harga patokan tertinggi,Economic and Pricing Policy,Economic and Pricing Policy,2.35,Governance and Institutional Responsibility,2.2,0.15,harga patokan tertinggi,harga patokan tertinggi,0.615,ambiguous_small_margin,weighted keyword rule; needs review due to low score or small margin
C00616,PERPRES112_2022,Perpres No. 112 Tahun 2022,Pasal 20 ayat 1,"Harga pembelian Tenaga Listrik dari pembangkit Tenaga Listrik yang seluruhnya atau sebagian dibangun oleh Pemerintah Pusat atau pemerintah daerah, termasuk yang berasal dari hibah, sebagaimana dimaksud dalam",tariff_procurement,tariff_procurement: harga pembelian tenaga listrik,True,harga pembelian tenaga listrik,Economic and Pricing Policy,Economic and Pricing Policy,2.35,Governance and Institutional Responsibility,2.2,0.15,harga pembelian tenaga listrik,harga pembelian tenaga listrik,0.615,ambiguous_small_margin,weighted keyword rule; needs review due to low score or small margin
C00625,PERPRES112_2022,Perpres No. 112 Tahun 2022,Pasal 21 ayat 4,Menteri menetapkan pedoman PJBL sebagaimana dimaksud pada ayat (3),tariff_procurement,tariff_procurement: pjbl,True,pjbl,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Governance and Institutional Responsibility,0.8,0.2,pjbl,pjbl,0.51,ambiguous_small_margin,weighted keyword rule; needs review due to low score or small margin
C00689,PERPRES112_2022,Perpres No. 112 Tahun 2022,Pasal 34 ayat 1 huruf b,"belum menandatangani PJBL dengan PT PLN (Persero), proses pelaksanaan pembelian Tenaga Listrik menggunakan mekanisme penunjukan langsung dan sesuai dengan ketentuan dalam Peraturan Presiden ini",tariff_procurement,tariff_procurement: pjbl,True,pjbl,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Governance and Institutional Responsibility,0.75,0.25,pjbl,pjbl,0.512,ambiguous_small_margin,weighted keyword rule; needs review due to low score or small margin
C00281,PP79_2014,PP No. 79 Tahun 2014,Pasal 12 ayat 1 huruf g,"pemanfaatan Sumber Energi gas bumi untuk industri, ketenagalistrikan, rumah tangga, dan transportasi, diutamakan untuk pemanfaatan yang memiliki nilai tambah paling tinggi",,,False,,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Energy Access and Equity,0.45,0.55,nilai tambah,nilai tambah,0.527,weak_evidence,weighted keyword rule; needs review due to low score or small margin
C00559,PERPRES112_2022,Perpres No. 112 Tahun 2022,Pasal 9 ayat 2,Pembelian Tenaga Listrik berdasarkan harga kesepakatan sebagaimana dimaksud dalam Pasal 6 ayat (3) dilakukan untuk pembelian Tenaga Listrik dari,tariff_procurement,tariff_procurement: harga kesepakatan,True,harga kesepakatan,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Energy Security,0.45,0.55,harga kesepakatan,harga kesepakatan,0.527,weak_evidence,weighted keyword rule; needs review due to low score or small margin
C00922,UU21_2014,UU No. 21 Tahun 2014,Pasal 54 ayat 1,Pemegang Izin Panas Bumi wajib memenuhi kewajiban berupa pendapatan negara dan pendapatan daerah,geothermal,geothermal: panas bumi; izin panas bumi,False,,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Renewable and Sustainable Energy,0.35,0.65,pendapatan negara,pendapatan negara,0.532,weak_evidence,weighted keyword rule; needs review due to low score or small margin
C00624,PERPRES112_2022,Perpres No. 112 Tahun 2022,Pasal 21 ayat 3,Kontrak sebagaimana dimaksud pada ayat (1) diatur dan disepakati dalam PJBL yang ditandatangani oleh PPL dan PT PLN (Persero),tariff_procurement,tariff_procurement: pjbl,True,pjbl,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Governance and Institutional Responsibility,0.25,0.75,pjbl,pjbl,0.537,weak_evidence,weighted keyword rule; needs review due to low score or small margin
C00065,UU30_2007,UU No. 30 Tahun 2007,Pasal 9 ayat 2,"Pemerintah wajib mendorong kemampuan penyediaan barang dan jasa dalam negeri guna menunjang industri energi yang mandiri, efisien, dan kompetitif",,,False,,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Governance and Institutional Responsibility,0.2,0.8,industri energi,industri energi,0.54,weak_evidence,weighted keyword rule; needs review due to low score or small margin
C00047,UU30_2007,UU No. 30 Tahun 2007,Pasal 3 huruf g,tercapainya pengembangan kemampuan industri energi dan jasa energi dalam negeri agar mandiri dan meningkatkan profesionalisme sumber daya manusia,,,False,,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Environmental Protection and Safety,0.0,1.0,industri energi,industri energi,0.55,weak_evidence,weighted keyword rule; needs review due to low score or small margin
C00122,UU30_2007,UU No. 30 Tahun 2007,Pasal 20 ayat 1 huruf e,"penjaminan kelancaran penyaluran, transmisi, dan penyimpanan sumber energi dan energi",,,False,,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Environmental Protection and Safety,0.0,1.0,penjaminan,penjaminan,0.55,weak_evidence,weighted keyword rule; needs review due to low score or small margin
C00196,PP79_2014,PP No. 79 Tahun 2014,Pasal 1 angka 16,"Industri Energi adalah semua industri yang bergerak dalam produksi dan penjualan Energi termasuk kegiatan ekstraksi Sumber Energi, manufaktur, pengolahan, transmisi, dan distribusi",,,False,,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Environmental Protection and Safety,0.0,1.0,industri energi,industri energi,0.55,weak_evidence,weighted keyword rule; needs review due to low score or small margin
C00227,PP79_2014,PP No. 79 Tahun 2014,Pasal 6 huruf a,Sumber Daya Energi tidak dijadikan sebagai komoditas ekspor semata tetapi sebagai modal pembangunan nasional,,,False,,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Environmental Protection and Safety,0.0,1.0,modal,modal,0.55,weak_evidence,weighted keyword rule; needs review due to low score or small margin
C00232,PP79_2014,PP No. 79 Tahun 2014,Pasal 6 huruf g,"pengembangan kemampuan teknologi, Industri Energi, dan jasa Energi dalam negeri agar mandiri dan meningkatkan kapasitas sumber daya manusia",,,False,,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Environmental Protection and Safety,0.0,1.0,industri energi,industri energi,0.55,weak_evidence,weighted keyword rule; needs review due to low score or small margin
C00241,PP79_2014,PP No. 79 Tahun 2014,Pasal 9 huruf a,terwujudnya paradigma baru bahwa Sumber Energi merupakan modal pembangunan nasional,,,False,,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Environmental Protection and Safety,0.0,1.0,modal,modal,0.55,weak_evidence,weighted keyword rule; needs review due to low score or small margin
C00266,PP79_2014,PP No. 79 Tahun 2014,Pasal 11 ayat 2,"Untuk mewujudkan keseimbangan keekonomian Energi sebagaimana dimaksud pada ayat (1) huruf a, prioritas pengembangan Energi nasional didasarkan pada prinsip",,,False,,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Environmental Protection and Safety,0.0,1.0,keekonomian,keekonomian,0.55,weak_evidence,weighted keyword rule; needs review due to low score or small margin
C00351,PP79_2014,PP No. 79 Tahun 2014,Pasal 21 ayat 2,Subsidi sebagaimana dimaksud pada ayat (1) diberikan dalam hal,,,False,,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Environmental Protection and Safety,0.0,1.0,subsidi,subsidi,0.55,weak_evidence,weighted keyword rule; needs review due to low score or small margin
C00373,PP79_2014,PP No. 79 Tahun 2014,Pasal 24 ayat 2,Penguatan perkembangan Industri Energi sebagaimana dimaksud pada ayat (1) meliPuti,,,False,,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Environmental Protection and Safety,0.0,1.0,industri energi,industri energi,0.55,weak_evidence,weighted keyword rule; needs review due to low score or small margin
C00374,PP79_2014,PP No. 79 Tahun 2014,Pasal 24 ayat 2 huruf a,peningkatan kemampuan Industri Energi dan jasa Energi dalam negeri,,,False,,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Environmental Protection and Safety,0.0,1.0,industri energi,industri energi,0.55,weak_evidence,weighted keyword rule; needs review due to low score or small margin
C00378,PP79_2014,PP No. 79 Tahun 2014,Pasal 24 ayat 2 huruf e,peningkatan tingkat kandungan dalam negeri dalam Industri Energi nasional,,,False,,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Environmental Protection and Safety,0.0,1.0,industri energi,industri energi,0.55,weak_evidence,weighted keyword rule; needs review due to low score or small margin
C00381,PP79_2014,PP No. 79 Tahun 2014,Pasal 24 ayat 2 huruf h,pembangunan Industri Energi dalam negeri melalui pembelian lisensi pabrik,,,False,,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Environmental Protection and Safety,0.0,1.0,industri energi,industri energi,0.55,weak_evidence,weighted keyword rule; needs review due to low score or small margin
C00383,PP79_2014,PP No. 79 Tahun 2014,Pasal 25 ayat 1,"Kegiatan penelitian, pengembangan, dan penerapan teknologi Energi diarahkan untuk mendukung Industri Energi nasional",,,False,,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Environmental Protection and Safety,0.0,1.0,industri energi,industri energi,0.55,weak_evidence,weighted keyword rule; needs review due to low score or small margin
C00404,PP79_2014,PP No. 79 Tahun 2014,Pasal 27 ayat 5,Penguatan pendanaan yang dimaksud pada ayat (3) dilaksanakan paling sedikit dengan,,,False,,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Environmental Protection and Safety,0.0,1.0,pendanaan,pendanaan,0.55,weak_evidence,weighted keyword rule; needs review due to low score or small margin
C00406,PP79_2014,PP No. 79 Tahun 2014,Pasal 27 ayat 5 huruf b,menerapkan premi pengurasan Energi fosil untuk pengembangan Energi,,,False,,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Environmental Protection and Safety,0.0,1.0,premi pengurasan,premi pengurasan,0.55,weak_evidence,weighted keyword rule; needs review due to low score or small margin
C00508,PERPRES112_2022,Perpres No. 112 Tahun 2022,Pasal 3 ayat 5 huruf b,"kontrak PJBL PLTU yang dikembangkan oleh PPL, dengan mempertimbangkan kondisi penyediaan (supply) dan permintaan (demand) listrik",fossil_transition; tariff_procurement,fossil_transition: pltu | tariff_procurement: pjbl,True,pjbl,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Environmental Protection and Safety,0.0,1.0,pjbl,pjbl,0.55,weak_evidence,weighted keyword rule; needs review due to low score or small margin
C00514,PERPRES112_2022,Perpres No. 112 Tahun 2022,Pasal 3 ayat 8 huruf a,percepatan pengakhiran waktu operasi PLTU milik sendiri dan/atau kontrak PJBL PLTU yang dikembangkan oleh PPL sebagaimana dimaksud pada ayat (5),fossil_transition; tariff_procurement,fossil_transition: pltu; percepatan pengakhiran | tariff_procurement: pjbl,True,pjbl,Economic and Pricing Policy,Economic and Pricing Policy,1.0,Environmental Protection and Safety,0.0,1.0,pjbl,pjbl,0.55,weak_evidence,weighted keyword rule; needs review due to low score or small margin
